"DateTime","ABX.Open","ABX.High","ABX.Low","ABX.Close","ABX.Volume","ABX.WAP","ABX.hasGaps","ABX.Count"
2012-12-31 09:30:00,34.04,34.4,34,34.29,5026,34.25,0,2547
2012-12-31 10:00:00,34.29,34.36,34.26,34.31,3109,34.312,0,1586
2012-12-31 10:30:00,34.32,34.35,34.19,34.22,4006,34.271,0,2298
2012-12-31 11:00:00,34.22,34.25,34.16,34.16,3945,34.215,0,1936
2012-12-31 11:30:00,34.17,34.18,34.07,34.09,2587,34.138,0,1465
2012-12-31 12:00:00,34.09,34.21,34.09,34.2,6963,34.148,0,3579
2012-12-31 12:30:00,34.2,34.48,34.18,34.29,8403,34.335,0,4487
2012-12-31 13:00:00,34.29,34.36,34.26,34.31,4826,34.304,0,2552
2012-12-31 13:30:00,34.32,34.47,34.31,34.42,6225,34.413,0,3483
2012-12-31 14:00:00,34.43,34.66,34.43,34.66,5336,34.515,0,2164
2012-12-31 14:30:00,34.66,35.18,34.66,35.07,9470,34.925,0,4689
2012-12-31 15:00:00,35.07,35.12,34.95,35.05,5711,35.036,0,3156
2012-12-31 15:30:00,35.05,35.11,34.93,35.02,13014,35.014,0,7303
2013-01-02 09:30:00,35.92,36.08,35.65,35.85,13745,35.847,0,6734
2013-01-02 10:00:00,35.86,35.95,35.75,35.77,7354,35.862,0,3347
2013-01-02 10:30:00,35.76,35.77,35.48,35.53,5797,35.596,0,2755
2013-01-02 11:00:00,35.53,35.69,35.38,35.68,4106,35.503,0,2182
2013-01-02 11:30:00,35.68,35.7,35.59,35.61,3560,35.647,0,1849
2013-01-02 12:00:00,35.6,35.62,35.56,35.57,2829,35.592,0,1545
2013-01-02 12:30:00,35.58,35.61,35.55,35.6,1605,35.587,0,886
2013-01-02 13:00:00,35.59,35.66,35.52,35.52,2669,35.59,0,1324
2013-01-02 13:30:00,35.53,35.69,35.52,35.6,2646,35.633,0,1432
2013-01-02 14:00:00,35.6,35.68,35.55,35.68,2125,35.594,0,1177
2013-01-02 14:30:00,35.68,35.7,35.62,35.68,1939,35.672,0,1197
2013-01-02 15:00:00,35.68,35.72,35.5,35.5,5258,35.595,0,2611
2013-01-02 15:30:00,35.5,35.58,35.45,35.52,12904,35.515,0,6722
2013-01-03 09:30:00,35.47,35.51,35.22,35.35,5727,35.325,0,2772
2013-01-03 10:00:00,35.35,35.48,35.35,35.48,2878,35.432,0,1491
2013-01-03 10:30:00,35.48,35.55,35.45,35.52,3780,35.494,0,1801
2013-01-03 11:00:00,35.53,35.54,35.38,35.45,3156,35.437,0,1814
2013-01-03 11:30:00,35.45,35.5,35.34,35.37,1551,35.44,0,943
2013-01-03 12:00:00,35.37,35.4,35.24,35.29,1958,35.314,0,1084
2013-01-03 12:30:00,35.28,35.28,35.14,35.2,1796,35.189,0,773
2013-01-03 13:00:00,35.2,35.22,35.08,35.09,2995,35.128,0,1315
2013-01-03 13:30:00,35.08,35.11,35.06,35.08,2313,35.092,0,962
2013-01-03 14:00:00,35.08,35.08,34.56,34.69,7778,34.772,0,3874
2013-01-03 14:30:00,34.68,34.7,34.51,34.55,5906,34.591,0,2967
2013-01-03 15:00:00,34.55,34.65,34.44,34.45,7371,34.557,0,3896
2013-01-03 15:30:00,34.45,34.54,34.32,34.47,15464,34.45,0,8009
2013-01-04 09:30:00,34.09,34.24,33.95,34.08,13363,34.066,0,5876
2013-01-04 10:00:00,34.07,34.11,33.94,34.09,8550,34.02,0,3954
2013-01-04 10:30:00,34.09,34.43,34.08,34.21,7966,34.271,0,3475
2013-01-04 11:00:00,34.22,34.39,34.22,34.24,3901,34.308,0,2009
2013-01-04 11:30:00,34.24,34.32,34.18,34.22,4335,34.254,0,2219
2013-01-04 12:00:00,34.23,34.3,34.08,34.13,2650,34.171,0,1486
2013-01-04 12:30:00,34.14,34.25,34.12,34.22,2081,34.187,0,1102
2013-01-04 13:00:00,34.22,34.22,34.07,34.12,2565,34.137,0,1447
2013-01-04 13:30:00,34.12,34.18,34.09,34.09,2286,34.129,0,1129
2013-01-04 14:00:00,34.09,34.16,34.08,34.13,1723,34.11,0,856
2013-01-04 14:30:00,34.13,34.21,34.12,34.18,1828,34.146,0,987
2013-01-04 15:00:00,34.18,34.68,34.15,34.68,8233,34.415,0,4438
2013-01-04 15:30:00,34.68,34.7,34.51,34.61,7315,34.587,0,4178
2013-01-07 09:30:00,34.34,34.37,34.09,34.11,5918,34.179,0,2837
2013-01-07 10:00:00,34.12,34.45,34.1,34.2,8875,34.25,0,4418
2013-01-07 10:30:00,34.2,34.3,34.13,34.16,8950,34.215,0,3986
2013-01-07 11:00:00,34.16,34.27,34.12,34.14,4885,34.2,0,2183
2013-01-07 11:30:00,34.14,34.16,34.07,34.09,4277,34.107,0,1954
2013-01-07 12:00:00,34.08,34.09,33.99,34.04,3916,34.048,0,2098
2013-01-07 12:30:00,34.04,34.07,34.01,34.07,1986,34.032,0,1122
2013-01-07 13:00:00,34.08,34.13,34.04,34.13,1984,34.087,0,1095
2013-01-07 13:30:00,34.12,34.17,34.1,34.15,2161,34.139,0,1187
2013-01-07 14:00:00,34.15,34.19,34.12,34.17,3140,34.153,0,1650
2013-01-07 14:30:00,34.17,34.19,34.1,34.11,2237,34.141,0,1369
2013-01-07 15:00:00,34.11,34.18,34.11,34.15,2120,34.137,0,1348
2013-01-07 15:30:00,34.16,34.16,34.05,34.09,7739,34.103,0,4437
2013-01-08 09:30:00,34.04,34.06,33.32,33.42,20770,33.587,0,10533
2013-01-08 10:00:00,33.42,33.7,33.38,33.69,9414,33.529,0,5327
